"Date,U.S. "
"7320,1097"
"7351,1145"
"7380,1167"
"7411,1165"
"7441,1181"
"7472,1222"
"7502,1218"
"7533,1255"
"7564,1251"
"7594,1277"
"7625,1287"
"7655,1257"
"7686,1230"
"7717,1269"
"7745,1326"
"7776,1341"
"7806,1361"
"7837,1352"
"7867,1305"
"7898,1326"
"7929,1225"
"7959,1156"
"7990,1270"
"8020,1360"
"8051,1410"
"8082,1476"
"8110,1522"
"8141,1506"
"8171,1516"
"8202,1536"
"8232,1520"
"8263,1518"
"8294,1527"
"8324,1562"
"8355,1601"
"8385,1634"
"8416,1694"
"8447,1735"
"8475,1838"
"8506,1967"
"8536,2012"
"8567,2095"
"8597,2127"
"8628,2143"
"8659,2177"
"8689,2178"
"8720,2180"
"8750,1921"
"8781,1848"
"8812,1927"
"8841,1940"
"8872,1994"
"8902,1995"
"8933,1986"
"8963,1998"
"8994,2013"
"9025,2013"
"9055,1951"
"9086,1893"
"9116,1853"
"9147,1736"
"9178,1735"
"9206,1729"
"9237,1730"
"9267,1722"
"9298,1731"
"9328,1682"
"9359,1684"
"9390,1719"
"9420,1670"
"9451,1664"
"9481,1601"
"9512,1935"
"9543,1960"
"9571,1964"
"9602,2012"
"9632,2027"
"9663,2060"
"9693,2102"
"9724,2162"
"9755,2193"
"9785,2247"
"9816,2330"
"9846,2343"
"9877,2315"
"9908,2433"
"9936,2436"
"9967,2438"
"9997,2479"
"10028,2510"
"10058,2541"
"10089,2542"
"10120,2530"
"10150,2501"
"10181,2483"
"10211,2418"
"10242,2348"
"10273,2364"
"10302,2404"
"10333,2413"
"10363,2428"
"10394,2423"
"10424,2438"
"10455,2510"
"10486,2549"
"10516,2573"
"10547,2537"
"10577,2564"
"10608,2647"
"10639,2695"
"10667,2660"
"10698,2680"
"10728,2726"
"10759,2780"
"10789,2945"
"10820,2973"
"10851,2915"
"10881,2853"
"10912,2625"
"10942,2610"
"10973,2569"
"11004,2653"
"11032,2523"
"11063,2583"
"11093,2598"
"11124,2569"
"11154,2481"
"11185,2414"
"11216,2374"
"11246,2351"
"11277,2265"
"11307,2160"
"11338,2121"
"11369,2162"
"11397,2240"
"11428,2429"
"11458,2478"
"11489,2500"
"11519,2523"
"11550,2194"
"11581,2146"
"11611,2364"
"11642,2449"
"11672,2365"
"11703,2162"
"11734,2156"
"11763,2176"
"11794,2264"
"11824,2221"
"11855,2171"
"11885,2150"
"11916,2147"
"11947,2184"
"11977,2116"
"12008,2121"
"12038,1880"
"12069,2102"
"12100,2188"
"12128,2425"
"12159,2190"
"12189,2795"
"12220,2813"
"12250,2752"
"12281,2758"
"12312,2611"
"12342,2454"
"12373,2332"
"12403,2328"
"12434,2323"
"12465,2335"
"12493,2433"
"12524,2522"
"12554,2580"
"12585,2655"
"12615,2624"
"12646,2552"
"12677,2525"
"12707,2471"
"12738,2413"
"12768,2413"
"12799,2539"
"12830,2599"
"12858,2629"
"12889,2614"
"12919,2660"
"12950,2745"
"12980,2758"
"13011,2736"
"13042,2804"
"13072,2844"
"13103,2883"
"13133,2862"
"13164,2865"
"13195,2832"
"13224,2922"
"13255,3016"
"13285,3024"
"13316,3006"
"13346,2970"
"13377,3067"
"13408,3032"
"13438,3090"
"13469,3034"
"13499,3150"
"13530,3180"
"13561,3328"
"13589,3443"
"13620,3499"
"13650,3578"
"13681,3527"
"13711,3572"
"13742,3713"
"13773,3666"
"13803,3578"
"13834,3474"
"13864,3438"
"13895,3420"
"13926,3381"
"13954,3436"
"13985,3423"
"14015,3183"
"14046,3143"
"14076,3319"
"14107,3425"
"14138,3289"
"14168,3285"
"14199,3286"
"14229,3300"
"14260,3306"
"14291,3338"
"14319,3444"
"14350,3517"
"14380,3566"
"14411,3487"
"14441,3579"
"14472,2609"
"14503,3606"
"14533,3684"
"14564,3730"
"14594,3704"
"14625,3782"
"14656,3738"
"14685,3921"
"14716,3967"
"14746,3995"
"14777,3977"
"14807,4113"
"14838,4214"
"14869,4347"
"14899,4403"
"14930,4455"
"14960,4360"
"14991,3569"
"15022,3600"
"15050,3639"
"15081,3703"
"15111,3773"
"15142,3834"
"15172,3815"
"15203,3915"
"15234,3982"
"15264,4069"
"15295,4112"
"15325,4138"
"15356,4137"
"15387,4070"
"15415,3693"
"15446,3502"
"15476,3555"
"15507,3620"
"15537,3606"
"15568,3885"
"15599,3860"
"15629,3881"
"15660,3870"
"15690,3888"
"15721,3786"
"15752,3875"
"15780,3924"
"15811,3970"
"15841,3999"
"15872,4004"
"15902,4117"
"15933,4219"
"15964,4352"
"15994,4414"
"16025,4461"
"16055,4364"
"16086,4377"
"16117,4443"
"16146,4413"
"16177,4453"
"16207,4554"
"16238,4575"
"16268,4563"
"16299,4691"
"16330,4766"
"16360,4739"
"16391,4749"
"16421,4688"
"16452,4756"
"16483,4767"
"16511,4804"
"16542,4807"
"16572,4877"
"16603,4859"
"16633,4897"
"16664,4877"
"16695,4423"
"16725,4284"
"16756,4517"
"16786,4472"
"16817,4625"
"16848,4719"
"16876,4414"
"16907,4673"
"16937,4785"
"16968,4896"
"16998,4922"
"17029,4836"
"17060,4790"
"17090,4785"
"17121,4822"
"17151,4725"
"17182,4672"
"17213,4811"
"17241,4909"
"17272,4980"
"17302,5034"
"17333,5102"
"17363,5141"
"17394,5176"
"17425,5256"
"17455,5324"
"17486,5290"
"17516,5340"
"17547,5293"
"17578,5365"
"17607,5415"
"17638,5491"
"17668,5507"
"17699,5548"
"17729,5528"
"17760,5581"
"17791,5441"
"17821,5644"
"17852,5693"
"17882,5722"
"17913,5388"
"17944,5382"
"17972,5239"
"18003,5011"
"18033,4976"
"18064,4909"
"18094,4695"
"18125,4786"
"18156,4943"
"18186,5015"
"18217,5217"
"18247,5027"
"18278,4933"
"18309,4969"
"18337,4881"
"18368,4972"
"18398,5147"
"18429,5377"
"18459,5486"
"18490,5684"
"18521,5890"
"18551,5904"
"18582,5893"
"18612,5725"
"18643,5917"
"18674,5934"
"18702,6057"
"18733,6129"
"18763,6181"
"18794,6135"
"18824,6149"
"18855,6243"
"18886,6267"
"18916,6392"
"18947,6283"
"18977,6193"
"19008,6221"
"19039,6373"
"19068,6359"
"19099,6431"
"19129,5089"
"19160,6190"
"19190,6096"
"19221,6218"
"19252,6520"
"19282,6503"
"19313,6461"
"19343,6642"
"19374,6555"
"19405,6542"
"19433,6517"
"19464,6398"
"19494,6391"
"19525,6588"
"19555,6604"
"19586,6596"
"19617,6552"
"19647,6249"
"19678,6271"
"19708,6237"
"19739,6240"
"19770,6380"
"19798,6508"
"19829,6617"
"19859,6472"
"19890,6499"
"19920,6261"
"19951,6142"
"19982,6144"
"20012,6120"
"20043,6346"
"20073,6391"
"20104,6761"
"20135,6834"
"20163,6886"
"20194,6889"
"20224,6680"
"20255,6595"
"20285,6633"
"20316,6665"
"20347,6735"
"20377,6834"
"20408,7015"
"20438,7157"
"20469,7198"
"20500,7210"
"20529,7279"
"20560,7147"
"20590,7063"
"20621,7100"
"20651,7089"
"20682,7195"
"20713,7053"
"20743,6954"
"20774,7148"
"20804,7377"
"20835,7472"
"20866,7677"
"20894,7693"
"20925,7546"
"20955,7434"
"20986,7110"
"21016,6864"
"21047,6779"
"21078,6893"
"21108,6840"
"21139,6842"
"21169,6924"
"21200,6880"
"21231,6820"
"21259,6277"
"21290,6300"
"21320,6232"
"21351,6339"
"21381,6571"
"21412,6936"
"21443,7088"
"21473,6964"
"21504,6975"
"21534,7138"
"21565,7223"
"21596,7194"
"21624,7188"
"21655,7256"
"21685,7220"
"21716,7083"
"21746,6784"
"21777,6766"
"21808,6857"
"21838,6911"
"21869,6982"
"21899,7193"
"21930,7230"
"21961,7241"
"21990,7128"
"22021,7038"
"22051,6848"
"22082,6939"
"22112,6860"
"22143,6940"
"22174,6971"
"22204,6958"
"22235,7133"
"22265,7150"
"22296,7210"
"22327,7296"
"22355,7471"
"22386,7328"
"22416,7147"
"22447,7103"
"22477,6958"
"22508,7104"
"22539,6995"
"22569,7127"
"22600,7152"
"22630,7311"
"22661,7347"
"22692,7467"
"22720,7376"
"22751,7391"
"22781,7193"
"22812,7257"
"22842,7226"
"22873,7234"
"22904,7320"
"22934,7367"
"22965,7441"
"22995,7381"
"23026,7304"
"23057,7587"
"23085,7558"
"23116,7609"
"23146,7564"
"23177,7562"
"23207,7585"
"23238,7640"
"23269,7507"
"23299,7536"
"23330,7544"
"23360,7511"
"23391,7624"
"23422,7688"
"23451,7712"
"23482,7739"
"23512,7572"
"23543,7560"
"23573,7473"
"23604,7449"
"23635,7532"
"23665,7623"
"23696,7634"
"23726,7770"
"23757,7773"
"23788,7808"
"23816,7863"
"23847,7895"
"23877,7686"
"23908,7748"
"23938,7665"
"23969,7748"
"24000,7418"
"24030,7875"
"24061,7988"
"24091,8180"
"24122,8047"
"24153,8240"
"24181,8294"
"24212,8272"
"24242,8344"
"24273,8346"
"24303,8230"
"24334,8252"
"24365,8254"
"24395,8323"
"24426,8427"
"24456,8511"
"24487,8567"
"24518,8620"
"24546,8544"
"24577,8475"
"24607,8385"
"24638,8539"
"24668,9154"
"24699,9435"
"24730,9095"
"24760,9000"
"24791,8978"
"24821,8908"
"24852,9028"
"24883,9325"
"24912,9319"
"24943,9123"
"24973,9205"
"25004,9144"
"25034,9156"
"25065,9134"
"25096,8932"
"25126,8916"
"25157,8969"
"25187,8906"
"25218,8888"
"25249,8928"
"25277,9055"
"25308,9238"
"25338,9356"
"25369,9631"
"25399,9295"
"25430,9067"
"25461,9295"
"25491,9213"
"25522,9346"
"25552,9528"
"25583,9478"
"25614,9570"
"25642,9508"
"25673,9591"
"25703,9523"
"25734,9359"
"25764,9202"
"25795,9560"
"25826,9853"
"25856,10013"
"25887,10044"
"25917,9944"
"25948,9655"
"25979,9729"
"26007,9768"
"26038,9769"
"26068,9645"
"26099,9604"
"26129,9456"
"26160,9411"
"26191,9135"
"26221,9162"
"26252,9139"
"26282,9100"
"26313,9114"
"26344,9336"
"26373,9462"
"26404,9513"
"26434,9614"
"26465,9522"
"26495,9496"
"26526,9483"
"26557,9508"
"26587,9482"
"26618,9426"
"26648,9335"
"26679,9176"
"26710,9395"
"26738,9272"
"26769,9292"
"26799,9262"
"26830,9214"
"26860,9217"
"26891,9169"
"26922,9065"
"26952,9224"
"26983,9161"
"27013,9063"
"27044,8934"
"27075,9142"
"27103,8965"
"27134,8954"
"27164,8911"
"27195,8780"
"27225,8780"
"27256,8699"
"27287,8443"
"27317,8611"
"27348,8569"
"27378,8527"
"27409,8455"
"27440,8591"
"27468,8493"
"27499,8457"
"27529,8379"
"27560,8421"
"27590,8336"
"27621,8249"
"27652,8280"
"27682,8324"
"27713,8278"
"27743,8254"
"27774,8232"
"27805,8231"
"27834,8232"
"27865,8077"
"27895,8125"
"27926,8094"
"27956,8127"
"27987,8111"
"28018,8150"
"28048,8063"
"28079,8080"
"28109,8061"
"28140,7854"
"28171,8139"
"28199,8090"
"28230,8145"
"28260,8075"
"28291,8102"
"28321,8105"
"28352,8307"
"28383,8480"
"28413,8573"
"28444,8579"
"28474,8487"
"28505,8360"
"28536,8377"
"28564,8720"
"28595,8818"
"28625,8825"
"28656,8832"
"28686,8756"
"28717,8758"
"28748,8800"
"28778,8820"
"28809,8741"
"28839,8662"
"28870,8475"
"28901,8525"
"28929,8601"
"28960,8553"
"28990,8601"
"29021,8432"
"29051,8364"
"29082,8548"
"29113,8523"
"29143,8621"
"29174,8761"
"29204,8615"
"29235,8675"
"29266,8705"
"29295,8698"
"29326,8685"
"29356,8635"
"29387,8554"
"29417,8547"
"29448,8414"
"29479,8619"
"29509,8532"
"29540,8495"
"29570,8606"
"29601,8540"
"29632,8604"
"29660,8613"
"29691,8557"
"29721,8501"
"29752,8629"
"29782,8500"
"29813,8583"
"29844,8604"
"29874,8563"
"29905,8586"
"29935,8585"
"29966,8509"
"29997,8702"
"30025,8667"
"30056,8591"
"30086,8683"
"30117,8646"
"30147,8658"
"30178,8634"
"30209,8701"
"30239,8701"
"30270,8697"
"30300,8598"
"30331,8697"
"30362,8758"
"30390,8700"
"30421,8776"
"30451,8631"
"30482,8667"
"30512,8636"
"30543,8679"
"30574,8784"
"30604,8771"
"30635,8770"
"30665,8397"
"30696,8868"
"30727,8874"
"30756,8672"
"30787,8862"
"30817,8955"
"30848,8852"
"30878,8885"
"30909,8809"
"30940,8993"
"30970,8906"
"31001,8979"
"31031,8897"
"31062,8740"
"31093,9025"
"31121,9095"
"31152,9043"
"31182,9132"
"31213,9022"
"31243,8949"
"31274,8803"
"31305,8954"
"31335,8970"
"31366,8902"
"31396,9030"
"31427,9137"
"31458,9173"
"31486,9013"
"31517,8864"
"31547,8838"
"31578,8623"
"31608,8660"
"31639,8374"
"31670,8328"
"31700,8419"
"31731,8412"
"31761,8352"
"31792,8480"
"31823,8389"
"31851,8464"
"31882,8498"
"31912,8336"
"31943,8279"
"31973,8251"
"32004,8210"
"32035,8205"
"32065,8364"
"32096,8397"
"32126,8318"
"32157,8250"
"32188,8374"
"32217,8374"
"32248,8288"
"32278,8229"
"32309,8170"
"32339,8040"
"32370,8079"
"32401,7895"
"32431,8023"
"32462,8023"
"32492,7942"
"32523,7937"
"32554,7788"
"32582,7575"
"32613,7772"
"32643,7816"
"32674,7624"
"32704,7444"
"32735,7544"
"32766,7548"
"32796,7453"
"32827,7536"
"32857,7337"
"32888,7546"
"32919,7497"
"32947,7433"
"32978,7407"
"33008,7328"
"33039,7106"
"33069,7173"
"33100,7287"
"33131,7224"
"33161,7542"
"33192,7387"
"33222,7338"
"33253,7500"
"33284,7637"
"33312,7546"
"33343,7509"
"33373,7409"
"33404,7320"
"33434,7347"
"33465,7316"
"33496,7368"
"33526,7437"
"33557,7328"
"33587,7299"
"33618,7361"
"33649,7389"
"33678,7348"
"33709,7293"
"33739,7169"
"33770,7167"
"33800,7131"
"33831,6922"
"33862,7030"
"33892,7126"
"33923,7024"
"33953,7103"
"33984,6961"
"34015,6943"
"34043,6974"
"34074,6881"
"34104,6847"
"34135,6795"
"34165,6688"
"34196,6758"
"34227,6712"
"34257,6839"
"34288,6912"
"34318,6858"
"34349,6817"
"34380,6770"
"34408,6746"
"34439,6612"
"34469,6688"
"34500,6611"
"34530,6501"
"34561,6544"
"34592,6609"
"34622,6658"
"34653,6628"
"34683,6760"
"34714,6682"
"34745,6794"
"34773,6600"
"34804,6604"
"34834,6629"
"34865,6579"
"34895,6449"
"34926,6447"
"34957,6416"
"34987,6421"
"35018,6585"
"35048,6530"
"35079,6495"
"35110,6577"
"35139,6571"
"35170,6444"
"35200,6394"
"35231,6458"
"35261,6338"
"35292,6360"
"35323,6482"
"35353,6481"
"35384,6476"
"35414,6506"
"35445,6402"
"35476,6514"
"35504,6452"
"35535,6441"
"35565,6474"
"35596,6442"
"35626,6409"
"35657,6347"
"35688,6486"
"35718,6467"
"35749,6459"
"35779,6531"
"35810,6541"
"35841,6476"
"35869,6408"
"35900,6483"
"35930,6347"
"35961,6267"
"35991,6194"
"36022,6203"
"36053,5789"
"36083,6143"
"36114,6140"
"36144,6043"
"36175,5963"
"36206,5966"
"36234,5883"
"36265,5887"
"36295,5875"
"36326,5760"
"36356,5798"
"36387,5780"
"36418,5804"
"36448,5947"
"36479,5960"
"36509,5959"
"36540,5784"
"36571,5852"
"36600,5918"
"36631,5854"
"36661,5847"
"36692,5823"
"36722,5739"
"36753,5789"
"36784,5758"
"36814,5809"
"36845,5833"
"36875,5855"
"36906,5799"
"36937,5780"
"36965,5880"
"36996,5863"
"37026,5829"
"37057,5766"
"37087,5749"
"37118,5725"
"37149,5709"
"37179,5746"
"37210,5881"
"37240,5887"
"37271,5873"
"37302,5881"
"37330,5886"
"37361,5844"
"37391,5905"
"37422,5884"
"37452,5751"
"37483,5796"
"37514,5411"
"37544,5358"
"37575,5624"
"37605,5722"
"37636,5755"
"37667,5783"
"37695,5803"
"37726,5726"
"37756,5663"
"37787,5659"
"37817,5498"
"37848,5574"
"37879,5609"
"37909,5614"
"37940,5547"
"37970,5571"
"38001,5585"
"38032,5572"
"38061,5617"
"38092,5560"
"38122,5556"
"38153,5407"
"38183,5484"
"38214,5325"
"38245,5081"
"38275,5170"
"38306,5423"
"38336,5510"
"38367,5446"
"38398,5501"
"38426,5601"
"38457,5563"
"38487,5596"
"38518,5442"
"38548,5253"
"38579,5198"
"38610,4214"
"38640,4555"
"38671,4857"
"38701,4988"
"38732,5048"
"38763,5032"
"38791,5027"
"38822,5082"
"38852,5151"
"38883,5163"
"38913,5094"
"38944,5040"
"38975,5031"
"39005,5108"
"39036,5064"
"39066,5186"
"39097,5108"
"39128,5118"
"39156,5119"
"39187,5180"
"39217,5211"
"39248,5075"
"39278,5038"
"39309,4970"
"39340,4902"
"39370,5022"
"39401,5034"
"39431,5111"
"39462,5115"
"39493,5148"
"39522,5189"
"39553,5180"
"39583,5143"
"39614,5138"
"39644,5177"
"39675,5003"
"39706,3974"
"39736,4738"
"39767,5078"
"39797,5103"
"39828,5138"
"39859,5236"
"39887,5210"
"39918,5278"
"39948,5374"
"39979,5263"
"40009,5389"
"40040,5406"
"40071,5555"
"40101,5515"
"40132,5378"
"40162,5438"
"40193,5390"
"40224,5548"
"40252,5506"
"40283,5383"
"40313,5391"
"40344,5381"
"40374,5299"
"40405,5442"
"40436,5611"
"40466,5621"
"40497,5567"
"40527,5602"
"40558,5492"
"40589,5399"
"40617,5612"
"40648,5552"
"40678,5613"
"40709,5578"
"40739,5430"
"40770,5651"
"40801,5583"
"40831,5886"
"40862,6001"
"40892,6032"
"40923,6161"
"40954,6245"
"40983,6301"
"41014,6296"
"41044,6351"
"41075,6269"
"41105,6421"
"41136,6329"
"41167,6563"
"41197,6946"
"41228,7037"
"41258,7088"
"41289,7025"
"41320,7144"
"41348,7208"
"41379,7355"
"41409,7316"
"41440,7268"
"41470,7483"
"41501,7531"
"41532,7784"
"41562,7699"
"41593,7873"
"41623,7899"
"41654,8051"
"41685,8136"
"41713,8274"
"41744,8573"
"41774,8612"
"41805,8718"
"41835,8782"
"41866,8886"
"41897,9041"
"41927,9221"
"41958,9303"
"41988,9467"
"42019,9385"
"42050,9511"
"42078,9578"
"42109,9650"
"42139,9464"
"42170,9344"
"42200,9430"
"42231,9400"
"42262,9460"
"42292,9388"
"42323,9318"
"42353,9251"
"42384,9197"
"42415,9055"
"42444,9081"
"42475,8866"
"42505,8824"
"42536,8670"
"42566,8635"
"42597,8670"
"42628,8519"
"42658,8787"
"42689,8888"
"42719,8778"
"42750,8840"
"42781,9083"
"42809,9140"
"42840,9085"
"42870,9168"
"42901,9074"
"42931,9230"
"42962,9244"
"42993,9495"
"43023,9703"
"43054,10103"
"43084,10040"
"43115,9995"
"43146,10248"
"43174,10461"
"43205,10475"
"43235,10464"
"43266,10672"
"43296,10936"
"43327,11325"
"43358,11470"
"43388,11559"
"43419,11905"
"43449,11849"
